pathway	freq	mean_padj	mean_NES
cellular response to oxidative stress (GO:0034599)	0.5714285714285714	0.1216082608524374	2.195531377098989
fungal-type cell wall organization (GO:0031505)	0.5714285714285714	0.09879267938778338	2.2987415422119577
DNA-dependent DNA replication (GO:0006261)	0.07142857142857142	0.20127668570667942	2.058723139533096
cytoplasmic translation (GO:0002181)	0.2857142857142857	0.0	3.6671791773601816
translation (GO:0006412)	0.2857142857142857	0.0	3.5556085324019513
ribosomal large subunit biogenesis (GO:0042273)	0.2857142857142857	0.0835650313146375	2.193600336849954
ribosome biogenesis (GO:0042254)	0.2857142857142857	0.07833165124984487	2.348996861483905
outer mitochondrial membrane organization (GO:0007008)	0.35714285714285715	0.21788121576331898	2.006115987436867
cellular response to heat (GO:0034605)	0.21428571428571427	0.1976676132906339	1.9391132138697336
actin filament organization (GO:0007015)	0.2857142857142857	0.10962988060176629	2.3311732689769493
chronological cell aging (GO:0001300)	0.14285714285714285	0.17852157739155466	2.007584946358369
secondary alcohol biosynthetic process (GO:1902653)	0.07142857142857142	0.24333870270695004	1.8895913969333953
ribonucleoprotein complex assembly (GO:0022618)	0.07142857142857142	0.22314461949475503	1.8742701598011249
organic hydroxy compound biosynthetic process (GO:1901617)	0.07142857142857142	0.21514465576069317	1.8667372023053161
sterol biosynthetic process (GO:0016126)	0.07142857142857142	0.20684510947348334	1.86041854643042
acetyl-CoA biosynthetic process (GO:0006085)	0.07142857142857142	0.2386267499574379	1.825552210604982
cellular lipid biosynthetic process (GO:0097384)	0.07142857142857142	0.23829018190390133	1.756834475422004
phytosteroid biosynthetic process (GO:0016129)	0.07142857142857142	0.23829018190390133	1.756834475422004
cellular alcohol biosynthetic process (GO:0044108)	0.07142857142857142	0.23829018190390133	1.756834475422004
ergosterol biosynthetic process (GO:0006696)	0.07142857142857142	0.23829018190390133	1.756834475422004
steroid biosynthetic process (GO:0006694)	0.07142857142857142	0.23473426725131916	1.7509061317823922
