pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	1	0.2475907635949005	1.542220892653029	1.0	39.53	{'KAT2B;ACADM;ACACB;SORBS1;GPLD1;MLYCD;PPARA;AKT2;ADIPOR1;INPP5K;TFF3;HAS2;PPARGC1A;FBP1;PDK4;SLC25A12;PLEK;PDK1;SRC;FOXO1;ENPP1;PTAFR;LEPR;RGN;IGF1;ARPP19;SLC4A4;COX11;ENTPD5;HDAC4;SIK1;ZNF692;PSEN1;ARNT;ZBTB20;FOXK2;RORA;PPP1R3D;SIRT7;SERPINA12;TIGAR;PRKAG1;KAT2A;PFKFB1;EGF;PPP1CB;SELENOS;PRKAG2;GNMT;HRH1;P2RY1;MYC;CRY1;SESN2;PPP1R3E;SLC35B4;C1QTNF3;SMPD3;NFKB1;CLTC;SIRT6;PTPN2;PDK2;GNB3;GIT1;PHKG2;SIRT1;HIF1A;SOGA1;PPP1CA;BCKDK;PPP4R3B;NUPR1;IRS1;PFKFB2;PRKCE;CLK2;RORC;GSK3B'}
GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	1	0.2474946170307083	1.5421138357368134	1.0	39.53	{'KAT2B;ACADM;ACACB;SORBS1;GPLD1;MLYCD;PPARA;AKT2;ADIPOR1;INPP5K;TFF3;PPARGC1A;FBP1;PDK4;SLC25A12;PLEK;PDK1;SRC;FOXO1;ENPP1;PTAFR;LEPR;RGN;IGF1;ARPP19;COX11;HDAC4;SIK1;ZNF692;FOXK2;RORA;PPP1R3D;SIRT7;SERPINA12;TIGAR;KAT2A;PFKFB1;PPP1CB;SELENOS;GNMT;HRH1;P2RY1;CRY1;SESN2;PPP1R3E;SLC35B4;C1QTNF3;SIRT6;PTPN2;PDK2;GNB3;GIT1;PHKG2;SIRT1;SOGA1;PPP1CA;BCKDK;PPP4R3B;NUPR1;IRS1;PFKFB2;PRKCE;CLK2;RORC;GSK3B'}
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	1	0.24737464711601984	1.542038792312487	1.0	21.21	{'SLC3A2;SLC7A8;ACE2;SLC25A29;SLC7A5;SLC7A1;SLC38A5'}
GOBP_GLAND_MORPHOGENESIS	1	0.24719975846073255	1.5420034734155015	1.0	25.63	{'TBX3;TP63;ELF3;TGFA;SLC9A3R1;CFLAR;CSF1R;DDR1;SEMA3C;SFRP1;AREG;NRP1;EZR;SOSTDC1;ESRP2;NFIB;CAPN1;SRC;CUL3;SERPINB5;FBXW7;TGFBR2;PTN;SOX9;MMP2;BMP7;TNFAIP3;BAX;FOXA1;MSX2;FGFR2;MSN;LAMA1;PTCH1;TNC;FGF1;EGFR;MDK;HPN;PML'}
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	1	0.24711855470673916	1.5418805270275915	1.0	18.7	{'F2R;PCSK5;SUCNR1;ACE2;F2RL1;CPA3;ENPEP'}
GOBP_T_HELPER_2_CELL_DIFFERENTIATION	1	0.24670282103370217	1.5437330202256878	1.0	8.44	{'NLRP3;GATA3;BCL6;PRKCZ;RARA;BATF'}
GOBP_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	1	0.24667214245876534	1.543592620604352	1.0	43.32	{'RAP1B;RAP1A;SYT11;ASIC1;NF1;PNKD;FMR1'}
GOBP_REGULATION_OF_PHOSPHOLIPID_CATABOLIC_PROCESS	1	0.24660422082545963	1.544350163407202	1.0	49.84	{'LDLR;APOC2;IDH1;PRKCD;SCARB1;APOC1'}
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1	0.24647936161291892	1.5442807174386757	1.0	27.38	{'RRAGC;MAP2K1;ITGB1BP1;MAP3K20;LIMS1;RTN4;CAT;DUSP22;PTPN11;FERMT2;SDCBP;PDE8A;TSPAN6;RAP1B;ITGB1;SOS1;LPAR3;TXN;BANK1;LRRK2;RACK1;GATA3;TSPYL5;PTEN;RASGRP4;MTURN;PIK3CA;MAGED1;TGFA;FGR;KSR1;PRR5L;PINK1;SLC9A3R1;USP15;CFLAR;CSF1R;ARHGAP8;CANT1;RAP1A;UNC5CL;TICAM2;NRP1;IL20RA;ROBO1;ROCK2;GHR;P2RX4;BID;F2R;CD24;RPS3;DRD2;ARL6IP5;PTPN1;IL1B;ERBB3;CALR;KIT;CD28;NTF3;FYN;RHOA;ADGRG1;CHI3L1;RIPK2;STK39;FKBP1A;ALKAL2;PRKCZ;LURAP1;THPO;FGD2;SRC;MAP3K5;SPHK1;JAK2;AKAP12;PPIA;NOS1AP;TRIP6;PRAG1;SPAG9;IQCJ-SCHIP1;HAVCR2;RELA;ACTA2;XCL1;TRAF3IP2;RAF1;STK25;KITLG;F11R;TLR4;LCK;AJUBA;NPR2;OASL;EFNA1;F2RL1;ACTN4;CCL3L3;MID1;ADRA2A;RAD9A;PARK7;FBXW7;BCLAF1;FLT1;NEDD4;TEK;IGF1;BMPER;CD27;UBD;SEMA4D;MUL1;P2RY12;PUM1;CTNNB1;ADAM8;TNFAIP8L3;ERP29;RAPGEF2;GOLT1B;RIPK3;CCL24;PLCE1;NRG1;ROCK1;RPS7;ADCYAP1;HEXIM1;TAOK1;IL34;DHX58;PDCD4;RICTOR;NCK1;ROR1;PIK3R5;SCHIP1;SOX9;XCL2;ILK;MAD2L1;VWF;DIXDC1;ITPKB;MC1R;CC2D1A;RASGRF1;SEMA4C;HSP90AB1;RELN;SOS2;ERBB2;RC3H1;STYXL1;PSEN1;ZDHHC17;MAP4K2;SERINC3;CDK5RAP3;WNT7B;FGF2;COL3A1;GAREM1;CAV2;ALS2;CD3E;PRKRA;SYK;BAX;HCLS1;C5AR1;ANGPT1;SHC1;DHX36;HBEGF;LPAR1;SLC9A1;TNFRSF1A;CCL5;GDF15;DCN;PPARD;NOX4;PYCARD;DDX3X;IL18R1;LRP2;AKAP6;TMED4;ITGA1;APOL3;SLC44A2;HDAC3;TNFSF10;CPNE1;RASSF2;ERBIN;SERPINA12;FGFR2;CX3CL1;RPL37;TRIM8;MAP4K1;LRRC59;F2RL2;DIRAS1;IRF3;FGFR4;TRAF2;P2RX5;EDN1;IFIT5;ANKRD17;TAOK2;EGF;FGFR1;FCRL3;RYK;XRCC3;ATR;LRRD1;FGF1;FN1;RASGEF1A;MYDGF;NTRK2;FADD;SELP;TRIM14;RRAGA;LURAP1L;PIM2;CASP10;ATM;KL;CSK;CBL;EGFR;PLK2;GPR65;TMEM101;KLHL22;CD44;DOK5;SFPQ;NTRK3;NPNT;PML;PRMT1;TNFSF14;BIRC2;P2RY1;MYC;UBE2V1;MAP4K4;RPL26;PDGFRB;TRAF4;MAP3K4;GPR89A;ITGAV;ING4;KDR;AGT;TRPV4;GNAI2;PROX1;SHISA5'}
GOBP_DNA_CYTOSINE_DEAMINATION	1	0.24641021381007197	1.5441590048312441	1.0	43.05	{'APOBEC3G;APOBEC3D;APOBEC3C;APOBEC3F;CDADC1;APOBEC3H;APOBEC3B'}
