pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET	1	0.24860004919994233	1.3771126306553476	1.0	57.4	{'MAML1;RBPJ;MAML3;MAML2;NOTCH1;RBM15;NOTCH4'}
GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS	1	0.24757478248958387	1.3782510896042546	1.0	21.59	{'RFFL;PAK2;RNF34;RFPL1'}
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	1	0.24666132262515317	1.3792900071285505	1.0	76.8	{'P2RX4;SP1;TGFB1;MAPK14;RAC1;ROCK2;NUS1;BMPR2;PIK3C2A;MAP2K3;SIRT1;PRKD2;PDPK1;PLPP3;LGMN;NFE2L2;GPLD1;CALR;ITGB1BP1;AAMP;MAP3K3;HDAC7;PIK3CB;ADAM17;PIK3CD;STAT5A;ABL1;BCAS3;SASH1;AGT;RIN2;NRP1;GRN;EDN1;ANXA1;PRKCA;PDGFB;PRKD1;HMGB1;HIF1A;PTK2B;FOXP1;CD40;PLCG1;ANGPT1;AKT3;HSPB1;ADGRA2;SPARC;SEMA5A;ZNF580;ETS1;AKT1;KDR;PIK3CG;MET;BCAR1;GPI;TEK;WNT5A;MIR221;ITGB3;NRP2;HDAC9;FGFR1;ANXA3;MIR27B;FGF18;SRPX2;FLT4;RHOJ;CCBE1;PLK2;EGF;NOS3;PDCD6;VEGFA;SCARB1;RRAS;FUT1;GATA3;EMC10;THBS1;FGF1;GATA2;ZC3H12A;HMOX1;MIR21;ATOH8;PTGS2;BMP4;PROX1;RHOB;FGF2;MIR200A'}
GOBP_VACUOLAR_ACIDIFICATION	1	0.24577312559689823	1.3803071344118558	1.0	64.03	{'TMEM199;SNAPIN;ATP6AP2;CLN5;DMXL2;ATP6V1H;PPT1;DMXL1;TMEM106B;CLN6;ATP6V0A1;TMEM9;ATP6V0A2;GRN;CLN3;CCDC115;CLIC4;SLC11A1;ATP6V0D1;ATP6V0D2;TCIRG1'}
GOBP_REGULATION_OF_GENE_EXPRESSION_BY_GENOMIC_IMPRINTING	1	0.245255514982873	1.3809984509104307	1.0	48.49	{'KDM1B;ARID4A;CTCF;ARID4B;PCGF3;MECP2;DNMT3A;DIRAS3;PRMT7;BRCA1;PCGF5'}
GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS	1	0.24466460480044533	1.381837867430636	1.0	50.3	{'SERINC3;ABHD16A;LPCAT3;PLSCR1;SERINC1;PLA2G15;SERINC5;SLC27A1;MBOAT2;MBOAT1;OSBPL8;ABHD12;LPCAT4;PTDSS2;SERINC2;OSBPL10;PTDSS1'}
GOBP_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	1	0.24463193509615583	1.3817375160177807	1.0	10.03	{'APPL2;CD47;APPL1'}
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	1	0.2444955358763182	1.3821208015389048	1.0	59.49	{'SEC24B;RAC1;FZD1;TRAF3IP1;IFT20;SMURF2;VANGL1;PAFAH1B1;PLEKHA4;MLLT3;NPHP3;RAB10;RPGRIP1L;ZDHHC7;DVL3;MKS1;MED12;DVL2;RYK;TP63;TTC8;CAMSAP3;SLC9A3R1;EZR;EXOC5;MYO9A;DLG5;OPHN1;SMURF1;PTK7;FZD7;DAAM1;ABL1;WDR1;DAB2;ZNRF3;FZD6;DLG3;FUZ;ANKRD6;RHOA;CELSR1;AHI1;PRICKLE2;MSN;ACTB;NPHP1;FZD2;ACTG1;GPC4;CDC42;ROR1;FZD3;CELSR2;ASTN2;FAT1;TIAM1;PRICKLE1;SH3BP1;RSPO3;SFRP1;RAP2A;GRHL3;WNT5A'}
GOBP_DIOL_BIOSYNTHETIC_PROCESS	1	0.24437938925218716	1.3823679911833977	1.0	66.2	{'PCBD1;ACER2;ACER3;ASAH2B;SPTLC1;GBA;DHFR;PCBD2;SPTLC2;ASAH2;DHFRP1;SPR;SPHK2;ASAH1;SPTSSB;PTS;QDPR;SPTLC3;ABCA2;GCH1'}
GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	1	0.24403312763709883	1.382858012172833	1.0	56.47	{'BAD;FXN;PYCARD;PINK1;MOAP1;BID;PARL;TNFSF10;DNM1L;BCL2L2;PLAUR;BCL2L1;OPA1;BAX;TRIAP1;BCL2L11;PLSCR3;ARRB2;LMNA;BBC3;GHITM;PSMD10;PDCD5;TP53;MFF;PRELID1;BMF;IGF1;CIDEB;PPIF;AKT1;HGF'}
GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	1	0.2438617273886401	1.3831677253642243	1.0	59.7	{'ATF6;TMEM33;PTPN2;PTPN1;ERN1;BAX;BCL2L11;DAB2IP;PIK3R1;BOK;XBP1;BAK1'}
