	signed_agg_ranks
GLO1	42323
SET	-42187
MEMO1	-42154
DUSP15	42004
ILF2	41993
RAI1	41921
DPYD	-41877
GABBR2	-41784
WDR26	-41751
USP45	-41654
ENPP1	41539
NEGR1	-41484
SGSH	41424
HECW2	-41423
HMGN1	-41397
FMR1	41381
BCORL1	41329
CUX2	-41298
CHM	-41280
SRSF11	-41168
EEF1A2	41035
SYP	-40954
RAB39B	40925
MYO5C	-40909
PAH	40856
NOVA2	40840
CSMD1	-40790
PPP1R1B	-40770
EP400	40651
CHRNA7	40649
PCM1	-40635
BIRC6	-40632
RHEB	-40556
UBE3C	-40421
RLIM	-40230
SLC27A4	-40178
PRODH	-39987
RIMS2	-39908
KCND2	-39857
MYO9B	-39843
KCNS3	39831
DOCK4	-39762
CLCN4	-39722
TLK2	-39705
PHIP	39698
MBD5	-39684
AGTR2	-39639
SCP2	39575
TEK	39570
DNAH10	39551
LIN7B	-39451
PRUNE2	-39437
PHF8	-39408
TRPC6	39159
HIVEP3	-39147
GABRB2	-39142
HDAC8	-39094
DIP2A	-39001
NXF1	-38961
HUWE1	-38931
DNMT3A	-38919
PDCD1	-38919
DPP3	38906
PPP2R1B	38885
GALNT8	-38859
ZNF517	38855
CDH8	-38771
SNAP25	38737
DPP10	-38679
BRD4	-38652
PSMD12	-38628
FBXO40	-38579
BCL11A	-38579
KCTD13	-38459
PAK2	-38433
PHF2	-38420
PHF3	-38392
ASMT	38331
HSD11B1	38264
CLN8	38251
ARNT2	-37985
CNTN6	-37962
WASF1	37952
GALNT10	-37922
HECTD4	-37784
NTNG2	37648
CDKL5	-37559
BRINP3	37465
AGO1	-37220
CCSER1	37150
FAM92B	37075
SLC4A10	-37065
TTI2	36995
FAN1	36985
GRIA2	-36966
GRIN2A	-36918
EPPK1	-36859
TBC1D31	36788
POMT1	-36770
CHD7	36721
ARID1B	-36687
OTUD7A	-36655
BBS4	36614
CNTN5	-36576
SPP2	36558
VASH1	-36507
CYFIP1	-36424
MYO5A	-36412
PXDN	36379
FBN1	-36347
STK39	36228
ZNF774	36191
CAPN12	36182
MCPH1	-36114
CEP135	35919
GPHN	-35915
BST1	35843
CUL7	-35802
TOP3B	35780
MYH4	35764
DLX3	35720
PRKD1	-35704
GAS2	-35660
KDM5C	-35542
CAMK4	-35427
EBF3	35375
AVPR1A	-35332
CDH22	-35297
SLC7A3	-35276
DCC	-35243
KIF14	35230
LZTS2	-35136
FBXO33	-35113
ZNF559	-35103
HEPACAM	-35080
HRAS	-35075
ADSL	35067
PTEN	-35048
GABRA3	35014
GUCY1A2	34957
HTR3C	34933
TAF6	-34872
KCNK7	-34868
SERPINE1	34856
CDH11	-34607
TM4SF20	34603
FRK	34568
HLA-A	34566
RAPGEF4	-34444
EXOC6	-34333
TANC2	-34324
DOCK8	34169
DISC1	34148
TET2	-34133
NRXN2	-34080
PITX1	-33957
TECTA	33921
NLGN2	33806
SPEN	33712
RNF38	-33688
CMIP	33626
PPP1R9B	33602
PHB	-33526
SLC9A9	-33493
ROBO2	-33444
RBFOX1	-33423
AGAP1	33288
ICA1	33247
ETFB	33204
YWHAG	-33157
NINL	33121
CSNK2A1	33103
PRPF39	-33014
LRP2	32975
TUBGCP5	-32914
RIMS1	-32910
SLC25A39	32879
RANBP17	-32874
CCT4	-32766
ARHGEF10	-32728
FHIT	-32580
SYBU	-32450
CACNB2	32448
ALG6	32429
IL1RAPL1	-32362
BRWD3	-32328
RASSF5	32307
MED12L	-32301
SLC7A5	-32299
MCM6	32257
ASB14	32248
SLC6A4	32248
FBRSL1	32189
CD99L2	-32099
ACTL6B	-32083
CTCF	-32083
LDB1	31994
GABRG3	31980
PAX6	-31941
SLC45A1	31883
EIF3G	31871
TAF1	-31840
SMARCA4	-31827
TRIM33	-31627
CHRM3	-31616
KMT2E	-31579
SMARCA2	-31559
TRAPPC6B	31511
SCN9A	-31466
PRR12	-31448
RIT2	-31407
SLC1A1	-31405
RSRC1	-31334
IMMP2L	-31263
MED13	-31241
ESRRB	31202
RIMS3	-31199
KPTN	31187
LZTR1	-31166
SYN1	-31157
CDC42BPB	-31127
NIPA1	-31013
DAPP1	30734
AKAP9	-30722
RFX3	30704
NF1	-30633
SYNGAP1	30581
PAPOLG	-30559
SLC6A3	30486
CUL3	30479
PDK2	-30449
SKI	30445
RAD21L1	30420
MYT1L	30412
EXT1	-30403
USP9X	-30372
KHDRBS2	-30155
FBXO11	-30125
DYNC1H1	-30094
DLG4	30073
PEX7	30037
UBE2H	-29907
CREBBP	-29867
PLCB1	-29837
MAPT-AS1	29828
NAA15	29804
KDM6B	-29799
ATP2B2	-29775
GNAS	29742
TRIM23	-29724
MEGF11	29596
PCDH11X	-29574
TRPM1	29567
DIP2C	-29351
ASAP2	-29333
UBR1	-29306
KCNB1	-29258
WAC	29248
GRIN1	-29022
SMC1A	-28976
ANK2	-28926
SYNE1	28911
SLC6A1	-28848
CCDC91	28804
RAD21	-28744
ACTN4	-28656
CARD11	28642
GRIA1	-28631
KIF5C	-28580
GRM7	-28548
CACNA1E	28482
ST7	-28461
SLC1A2	-28350
SLC7A7	28258
RELN	-28238
ADK	28193
SCN4A	28168
MNT	28117
DYDC2	27970
DLGAP2	-27917
SCN2A	-27868
DLG1	-27819
PJA1	-27763
ATP10A	27621
AFF2	-27563
MLANA	-27561
INPP1	-27551
SYT17	-27550
TRAPPC2L	27544
NRP2	27543
UNC13A	-27536
KANSL1	-27524
CECR2	-27507
DYDC1	27349
P2RX5	-27192
ZC3H4	27176
RGS7	-27075
YEATS2	-27042
CACNA1D	-26944
TTC25	26936
UBR5	-26919
SF3B1	-26884
P4HA2	26862
ZNF827	-26821
SYT1	-26657
HTR3A	26557
KDM4B	-26537
DEAF1	-26523
SBF1	26400
NLGN3	-26367
KRT26	-26304
DRD3	26274
RORA	-26253
KCNQ2	-26221
CDH10	-26185
ACTB	-26161
PRKCA	-25996
BTRC	-25922
KATNAL2	25890
PLXNB1	25782
SGSM3	-25488
KRR1	-25465
GDA	-25461
MYO16	-25247
PTPRC	-25243
ANXA1	-25216
ALDH5A1	-25053
DMXL2	-24928
SLC22A15	-24909
OFD1	24719
MSR1	24633
LAMA1	24230
UIMC1	-24222
CTNNB1	-24202
VWA7	24200
STAG1	-24161
AUTS2	-24148
NAALADL2	-23949
IRF2BPL	-23933
USP9Y	23919
PPP2R5D	-23882
SETD2	-23853
RNF25	-23788
ARX	23702
RNF135	23691
INTS6	23686
TSC1	23470
HNRNPH2	-23434
CACNA1G	-23409
COL28A1	-23204
PRKDC	-23111
LEO1	23076
KIAA0232	-23019
CIB2	22979
SLC9A6	22971
OTX1	22926
