pathway	freq	padj	stability	overlap
KEGG_GAP_JUNCTION	1	0.007163758867695569	0.037037037037037035	0.05555555555555555
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.007494165751694368	0.037037037037037035	0.052083333333333336
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.007494165751694368	0.037037037037037035	0.07407407407407407
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.016470199055652644	0.037037037037037035	0.05333333333333334
KEGG_VEGF_SIGNALING_PATHWAY	1	0.016470199055652644	0.037037037037037035	0.05263157894736842
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.016470199055652644	0.037037037037037035	0.05263157894736842
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.017709182913472576	0.037037037037037035	0.05063291139240506
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	2	0.022438514369424126	0.07407407407407407	0.043478260869565216
KEGG_GLIOMA	5	0.027427335649719393	0.18518518518518517	0.06461538461538462
KEGG_LONG_TERM_DEPRESSION	3	0.03347470093404487	0.1111111111111111	0.05714285714285714
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	4	0.034258581929378626	0.14814814814814814	0.08333333333333333
KEGG_CALCIUM_SIGNALING_PATHWAY	18	0.03555116093865474	0.6666666666666666	0.03651685393258427
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.036166846643219626	0.037037037037037035	0.037037037037037035
KEGG_RENAL_CELL_CARCINOMA	2	0.03910142062315985	0.07407407407407407	0.05
KEGG_MELANOMA	2	0.03910142062315985	0.07407407407407407	0.04929577464788733
KEGG_MELANOGENESIS	1	0.040002128863529864	0.037037037037037035	0.039603960396039604
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0.04296937035535694	0.037037037037037035	0.15384615384615385
KEGG_LONG_TERM_POTENTIATION	7	0.04707271106300408	0.25925925925925924	0.05918367346938776
KEGG_VIRAL_MYOCARDITIS	2	0.04928295910931525	0.07407407407407407	0.05714285714285714
KEGG_MAPK_SIGNALING_PATHWAY	3	0.05584412749849598	0.1111111111111111	0.023720349563046195
KEGG_ADHERENS_JUNCTION	5	0.05690040508223156	0.18518518518518517	0.057534246575342465
KEGG_DILATED_CARDIOMYOPATHY	3	0.05710897152076098	0.1111111111111111	0.044444444444444446
KEGG_CELL_ADHESION_MOLECULES_CAMS	6	0.05755736389563445	0.2222222222222222	0.03884711779448621
KEGG_BETA_ALANINE_METABOLISM	1	0.060808102712000066	0.037037037037037035	0.09090909090909091
KEGG_OOCYTE_MEIOSIS	4	0.0623096019657921	0.14814814814814814	0.03982300884955752
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	6	0.06589387616764827	0.2222222222222222	0.026348039215686275
KEGG_ERBB_SIGNALING_PATHWAY	4	0.06681315325660311	0.14814814814814814	0.04310344827586207
KEGG_MTOR_SIGNALING_PATHWAY	4	0.06743503458573644	0.14814814814814814	0.06250000000000001
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	2	0.06844494735052441	0.07407407407407407	0.031746031746031744
KEGG_GNRH_SIGNALING_PATHWAY	5	0.06979414273465515	0.18518518518518517	0.041584158415841586
KEGG_TIGHT_JUNCTION	1	0.0761712826551482	0.037037037037037035	0.030303030303030304
KEGG_PANCREATIC_CANCER	2	0.0767775959251379	0.07407407407407407	0.04285714285714286
KEGG_ALZHEIMERS_DISEASE	2	0.07985359184446922	0.07407407407407407	0.03313253012048192
KEGG_AXON_GUIDANCE	1	0.0801499227446289	0.037037037037037035	0.031007751937984496
KEGG_COLORECTAL_CANCER	1	0.0801499227446289	0.037037037037037035	0.04838709677419355
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.08166934587222348	0.037037037037037035	0.0410958904109589
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.08224277781436157	0.037037037037037035	0.029197080291970802
KEGG_WNT_SIGNALING_PATHWAY	1	0.0838378750844962	0.037037037037037035	0.033112582781456956
KEGG_TYPE_II_DIABETES_MELLITUS	2	0.08416792705030823	0.07407407407407407	0.06382978723404255
KEGG_PROSTATE_CANCER	2	0.08656401587563797	0.07407407407407407	0.03932584269662921
KEGG_ENDOCYTOSIS	1	0.08958555430809287	0.037037037037037035	0.027624309392265192
KEGG_PHENYLALANINE_METABOLISM	1	0.09176044374636944	0.037037037037037035	0.1111111111111111
KEGG_PATHWAYS_IN_CANCER	1	0.09535723783371094	0.037037037037037035	0.018461538461538463
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.09535723783371094	0.037037037037037035	0.06666666666666667
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.09535723783371094	0.037037037037037035	0.03529411764705882
